"Nevertheless,  in  view  of  the  world-wide  notoriety  which  attended  it,  I  have  been  asked,  both  by  my  friend  Poirot  and  the  family  themselves,  to  write  an  account  of  the  whole  story. ",NomAnaph,13,38,6,2,4,false,"JJ, NN, WDT, VBD, ,, PRP, VBP, VBN",false,false,1,true,true,true,true,29,7,false,"nsubj, acl:relcl, obj",false,false
"It's  simply  bare-faced  fortune  hunting;  but  there  you  are...she  is  her  own  mistress,  and  she's  married  him. ",ClauseAnaph,1,26,5,0,2,false,"ABS, ABS, ABS, ABS, VBZ, RB, JJ, HYPH",false,false,3,false,true,true,true,0,0,false,"nsubj, cop, advmod, amod, compound, punct, conj:but, punct",false,false
"Mary  was  situated  about  two  miles  from  the  little  station,  and  Styles  Court  lay  a  mile  the  other  side  of  it. ",NomAnaph,22,23,2,5,0,false,"DT, JJ, NN, IN, ., ABS, ABS, ABS",false,false,0,true,false,false,false,0,0,false,"det, amod, dep, nmod:of",false,false
"She  is  up  at  five  every  morning  to  milk,  and  keeps  at  it  steadily  until  lunchtime. ",ClauseAnaph,14,18,2,0,0,false,",, CC, VBZ, IN, RB, IN, NN, .",false,false,0,true,false,false,false,0,1,false,"nsubj, cc, conj:and, obl:at, advmod, obl:until",false,false
"Don't  say  it. ",ClauseAnaph,4,5,1,0,0,false,"ABS, VB, RB, VB, ., ABS, ABS, ABS",false,false,0,true,false,false,false,0,0,false,"aux, advmod, obj, punct",false,false
"In  case  of  a  refusal,  Lady  Tadminster  might  open  it  the  first  day,  and  Mrs  Crosbie  the  second. ",NomAnaph,11,21,3,3,3,false,"NNP, NNP, MD, VB, DT, JJ, NN, ,",false,false,2,true,false,true,true,0,0,false,"obl:in_case_of, punct, nsubj, aux, obj, obl:tmod, punct, conj:and, punct",false,false
"The  French  window  swung  open  a  little  wider,  and  a  handsome  white-haired  old  lady,  with  a  somewhat  masterful  cast  of  features,  stepped  out  of  it  on  to  the  lawn. ",NomAnaph,30,35,5,4,1,false,",, VBD, IN, IN, IN, IN, DT, NN",false,true,0,true,false,false,false,0,0,false,"cc, nsubj, punct, obl:with, punct, conj:and, obl:out_of, obl:on",false,false
"It  was  one  of  the  longest  and  blackest  I  have  ever  seen. ",NomAnaph,1,13,1,0,2,false,"ABS, ABS, ABS, ABS, VBD, CD, IN, DT",false,false,2,false,true,true,true,0,2,false,"nsubj, cop, nmod:of, nmod:of, parataxis, punct",false,false
"It  struck  me  that  he  might  look  natural  on  a  stage,  but  was  strangely  out  of  place  in  real  life. ",ClauseAnaph,1,22,2,0,3,false,"ABS, ABS, ABS, ABS, VBD, PRP, IN, PRP",false,false,2,false,true,true,true,0,2,false,"nsubj, obj, ccomp, ccomp, punct",false,true
"And  you  will  return  there  after  it  is  over? ",NomAnaph,7,10,1,0,0,false,"MD, VB, RB, IN, VBZ, IN, ., ABS",false,false,0,true,true,false,false,0,1,false,"mark, nsubj, advcl:after, advmod",false,false
"But  really,  seriously,  I  am  awfully  drawn  to  it. ",ClauseAnaph,11,12,3,0,0,false,"VBP, RB, VBN, IN, ., ABS, ABS, ABS",false,false,0,true,false,false,false,0,0,false,"cc, advmod, punct, advmod, punct, nsubj:pass, aux:pass, advmod, obl:to, punct",false,false
"Don't  mean  the  police,  but  the  people  that  are  right  in  it. ",NomAnaph,14,15,2,2,0,false,"WDT, VBP, JJ, IN, ., ABS, ABS, ABS",false,false,0,true,false,false,false,0,0,false,"cc, nsubj, nsubj, cop, conj:but, obl:in",false,false
"Mightn't  be  able  to  prove  it  to  a  pack  of  lawyers. ",ClauseAnaph,7,13,1,0,1,false,"VB, JJ, TO, VB, IN, DT, NN, IN",false,true,0,true,false,false,false,0,0,false,"mark, xcomp, obj, obl:to",false,false
